Reference	Inclusion	Reasons_exclusion
Akhter M, Khan SM, Firdous SN, Tikmani P, Khan A, Rafique H. A narrative review on manifestations of gluten free casein free diet in autism and autism spectrum disorders. J Pak Med Assoc. 2022;72(10):2054-2060. doi:10.47391/JPMA.3971	Excluded	Not a meta-analysis
Applewhite B, Cankaya Z, Heiderscheit A, Himmerich H. A Systematic Review of Scientific Studies on the Effects of Music in People with or at Risk for Autism Spectrum Disorder. Int J Environ Res Public Health. 2022;19(9):5150. Published 2022 Apr 23. doi:10.3390/ijerph19095150	Excluded	Not a meta-analysis
Auvichayapat N, Auvichayapat P. Transcranial Direct Current Stimulation in Treatment of Child Neuropsychiatric Disorders: Ethical Considerations. Front Hum Neurosci. 2022;16:842013. Published 2022 Jul 8. doi:10.3389/fnhum.2022.842013	Excluded	Not a meta-analysis
Azari, H., Morovati, A., Gargari, B.P. et al. An Updated Systematic Review and Meta-Analysis on the Effects of Probiotics, Prebiotics and Synbiotics in Autism Spectrum Disorder. Rev J Autism Dev Disord (2022). https://doi.org/10.1007/s40489-022-00348-0	Excluded	Pre/post effect sizes within the experimental group
Bakermans-Kranenburg MJ, van I Jzendoorn MH. Sniffing around oxytocin: review and meta-analyses of trials in healthy and clinical groups with implications for pharmacotherapy. Transl Psychiatry. 2013;3(5):e258. Published 2013 May 21. doi:10.1038/tp.2013.34	Included	
Bang M, Lee SH, Cho SH, et al. Herbal Medicine Treatment for Children with Autism Spectrum Disorder: A Systematic Review. Evid Based Complement Alternat Med. 2017;2017:8614680. doi:10.1155/2017/8614680	Excluded	Not a meta-analysis
Barahona-Correa, J. B., Velosa, A., Chainho, A., Lopes, R., & Oliveira-Maia, A. J. (2018). Repetitive Transcranial Magnetic Stimulation for Treatment of Autism Spectrum Disorder: A Systematic Review and Meta-Analysis. Frontiers in Integrative Neuroscience, 12. doi:10.3389/fnint.2018.00027 	Included	
Bozzatello, Rocca, Mantelli, & Bellino. (2019). Polyunsaturated Fatty Acids: What is Their Role in Treatment of Psychiatric Disorders? International Journal of Molecular Sciences, 20(21), 5257. doi:10.3390/ijms20215257 	Excluded	Not a meta-analysis of controlled studies
Cai, Q., Feng, L., & Yap, K. Z. (2018). Systematic review and meta-analysis of reported adverse events of long-term intranasal oxytocin treatment for autism spectrum disorder. Psychiatry and Clinical Neurosciences, 72(3), 140–151. doi:10.1111/pcn.12627 	Included	
Cao J, Chai-Zhang TC, Huang Y, Eshel MN, Kong J. Potential scalp stimulation targets for mental disorders: evidence from neuroimaging studies. J Transl Med. 2021;19(1):343. Published 2021 Aug 10. doi:10.1186/s12967-021-02993-1	Excluded	Not a meta-analysis of controlled studies
Cardoso, C., Kingdon, D., & Ellenbogen, M. A. (2014). A meta-analytic review of the impact of intranasal oxytocin administration on cortisol concentrations during laboratory tasks: Moderation by method and mental health. Psychoneuroendocrinology, 49, 161–170. doi:10.1016/j.psyneuen.2014.07.014 	Excluded	Not on ASD
Chan, J. S., Deng, K., & Yan, J. H. (2020). The effectiveness of physical activity interventions on communication and social functioning in autistic children and adolescents: A meta-analysis of controlled trials. Autism, 136236132097764. doi:10.1177/1362361320977645 	Excluded	Mixed intervention types
Chen S, Zhang Y, Zhao M, Du X, Wang Y, Liu X. Effects of Therapeutic Horseback-Riding Program on Social and Communication Skills in Children with Autism Spectrum Disorder: A Systematic Review and Meta-Analysis. Int J Environ Res Public Health. 2022;19(21):14449. Published 2022 Nov 4. doi:10.3390/ijerph192114449	Included	
Chen T, Wen R, Liu H, Zhong X, Jiang C. Dance intervention for negative symptoms in individuals with autism spectrum disorder: A systematic review and meta-analysis. Complement Ther Clin Pract. 2022;47:101565. doi:10.1016/j.ctcp.2022.101565	Included	
Cheng YS, Tseng PT, Chen YW, et al. Supplementation of omega 3 fatty acids may improve hyperactivity, lethargy, and stereotypy in children with autism spectrum disorders: a meta-analysis of randomized controlled trials. Neuropsychiatr Dis Treat. 2017;13:2531-2543. Published 2017 Oct 4. doi:10.2147/NDT.S147305	Included	
Cheuk DKL, Wong V, Chen WX. Acupuncture for autism spectrum disorders (ASD). Cochrane Database of Systematic Reviews 2011, Issue 9. Art. No.: CD007849. DOI: 10.1002/14651858.CD007849.pub2. Accessed 22 November 2023.	Included	
Christie2022	Excluded	Pre/post effect sizes within the experimental group
Cugusi, L., & Carta, M. G. (2020). Conventional exercise interventions for adults with intellectual disabilities: A systematic review and meta‐analysis. Translational Sports Medicine. doi:10.1002/tsm2.195 	Excluded	Not on ASD
De Andrade Wobido, K., de Sá Barreto da Cunha, M., Miranda, S. S., da Mota Santana, J., da Silva, D. C. G., & Pereira, M. (2021). Non-specific effect of omega-3 fatty acid supplementation on autistic spectrum disorder: systematic review and meta-analysis. Nutritional Neuroscience, 1–13. doi:10.1080/1028415x.2021.1913950 	Included	
De Crescenzo, F., D’Alò, G. L., Morgano, G. P., Minozzi, S., Mitrova, Z., … Amato, L. (2020). Impact of polyunsaturated fatty acids on patient-important outcomes in children and adolescents with autism spectrum disorder: a systematic review. Health and Quality of Life Outcomes, 18(1). doi:10.1186/s12955-020-01284-5 	Included	
Dimolareva, M., & Dunn, T. J. (2020). Animal-Assisted Interventions for School-Aged Children with Autism Spectrum Disorder: A Meta-Analysis. Journal of Autism and Developmental Disorders, 51(7), 2436–2449. doi:10.1007/s10803-020-04715-w 	Included	
Droboniku, M. J., & Mychailyszyn, M. P. (2021). Animal Interaction Affecting Core Deficit Domains Among Children with Autism: A Meta-Analysis. Journal of Autism and Developmental Disorders. doi:10.1007/s10803-021-04891-3 	Excluded	Pre/post effect sizes within the experimental group
Feng K, Zhao Y, Yu Q, Deng J, Wu J, Liu L. Can probiotic supplements improve the symptoms of autism spectrum disorder in children?: A protocol for systematic review and meta analysis. Medicine (Baltimore). 2021;100(10):e18621. doi:10.1097/MD.0000000000018621	Excluded	Protocol
Ferreira, J. P., Ghiarone, T., Júnior, C. R. C., Furtado, G. E., Carvalho, H. M., Rodrigues, A. M., & Toscano, C. V. A. (2019). Effects of Physical Exercise on the Stereotyped Behavior of Children with Autism Spectrum Disorders. Medicina (Kaunas, Lithuania), 55(10), 685.	Excluded	Pre/post effect sizes within the experimental group
Fifer, S. (2018). Meta-Analysis of the Efficacy of Neurofeedback (Doctoral dissertation, Walden University).	Excluded	Mixed outcomes
Fraguas, D., Díaz-Caneja, C. M., Pina-Camacho, L., Moreno, C., Durán-Cutilla, M., Ayora, M., … Parellada, M. (2019). Dietary Interventions for Autism Spectrum Disorder: A Meta-analysis. Pediatrics, e20183218. doi:10.1542/peds.2018-3218 	Included	
García-González, S., Lugo-Marín, J., Setien-Ramos, I., Gisbert-Gustemps, L., Arteaga-Henríquez, G., Díez-Villoria, E., & Ramos-Quiroga, J. A. (2021). Transcranial direct current stimulation in Autism Spectrum Disorder: A systematic review and meta-analysis. European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology, 48, 89–109.	Included	
Geretsegger M, Fusar-Poli L, Elefant C, Mössler KA, Vitale G, Gold C. Music therapy for autistic people. Cochrane Database of Systematic Reviews 2022, Issue 5. Art. No.: CD004381. DOI: 10.1002/14651858.CD004381.pub4.	Included	
Geretsegger, M., Elefant, C., Mössler, K. A., & Gold, C. (2014). Music therapy for people with autism spectrum disorder. Cochrane Database of Systematic Reviews. doi:10.1002/14651858.cd004381.pub3 	Excluded	Updated later
Gold, C., Wigram, T., & Elefant, C. (2006). Music therapy for autistic spectrum disorder. Cochrane Database of Systematic Reviews. doi:10.1002/14651858.cd004381.pub2 	Excluded	Updated later
Guo S, Zhou KL, Dong S, et al. Efficacy and safety of massage therapy for autism spectrum disorders: A protocol for systematic review and meta-analysis. Medicine (Baltimore). 2021;100(19):e25874. doi:10.1097/MD.0000000000025874	Excluded	Protocol
Hayduke, D., & Nye, A. (2019). C-60 The Efficacy of Weighted Blankets for Quantity and Quality of Sleep in Autism Spectrum Disorder: A Meta-Analysis. Archives of Clinical Neuropsychology, 34(6), 1089–1089. doi:10.1093/arclin/acz034.222 	Excluded	Not enough information to replicate
Healy, S., Nacario, A., Braithwaite, R. E., & Hopper, C. (2018). The effect of physical activity interventions on youth with autism spectrum disorder: A meta-analysis. Autism Research, 11(6), 818–833. doi:10.1002/aur.1955 	Excluded	Mixed outcomes
"Hemangi Narayan Narvekar, Harshada Narayan Narvekar,
Canine-assisted Therapy in Neurodevelopmental Disorders: A Scoping Review,
European Journal of Integrative Medicine,
Volume 50,
2022,
102112,
ISSN 1876-3820,
https://doi.org/10.1016/j.eujim.2022.102112."	Excluded	Not a meta-analysis of controlled studies
Horvath A, ?ukasik J, Szajewska H. ?-3 Fatty Acid Supplementation Does Not Affect Autism Spectrum Disorder in Children: A Systematic Review and Meta-Analysis. J Nutr. 2017;147(3):367-376. doi:10.3945/jn.116.242354	Included	
Howells, K., Sivaratnam, C., May, T., Lindor, E., McGillivray, J., & Rinehart, N. (2019). Efficacy of Group-Based Organised Physical Activity Participation for Social Outcomes in Children with Autism Spectrum Disorder: A Systematic Review and Meta-analysis. Journal of Autism and Developmental Disorders. doi:10.1007/s10803-019-04050-9 	Excluded	Mixed intervention types
Sinha, Y., Silove, N., Wheeler, D., & Williams, K. (2006). Auditory integration training and other sound therapies for autism spectrum disorders: a systematic review. Archives of disease in childhood, 91(12), 1018–1022. https://doi.org/10.1136/adc.2006.094649	Excluded	Not a meta-analysis of controlled studies
Millward, C., Ferriter, M., Calver, S., & Connell-Jones, G. (2008). Gluten- and casein-free diets for autistic spectrum disorder. The Cochrane database of systematic reviews, (2), CD003498. https://doi.org/10.1002/14651858.CD003498.pub3	Excluded	Retracted
Shahrestani, S., Kemp, A. H., & Guastella, A. J. (2013). The impact of a single administration of intranasal oxytocin on the recognition of basic emotions in humans: a meta-analysis. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 38(10), 1929–1936. https://doi.org/10.1038/npp.2013.86	Excluded	Not on ASD
Brondino, N., De Silvestri, A., Re, S., Lanati, N., Thiemann, P., Verna, A., Emanuele, E., & Politi, P. (2013). A Systematic Review and Meta-Analysis of Ginkgo biloba in Neuropsychiatric Disorders: From Ancient Tradition to Modern-Day Medicine. Evidence-based complementary and alternative medicine : eCAM, 2013, 915691. https://doi.org/10.1155/2013/915691	Excluded	Not on ASD
Hofmann, S. G., Fang, A., & Brager, D. N. (2015). RETRACTED: Effect of intranasal oxytocin administration on psychiatric symptoms: A meta-analysis of placebo-controlled studies. Psychiatry research, 228(3), 708–714. https://doi.org/10.1016/j.psychres.2015.05.039 (Retraction published Psychiatry Res. 2018 May;263:299)	Excluded	Retracted
van IJzendoorn, M. H., & Bakermans-Kranenburg, M. J. (2016). The Role of Oxytocin in Parenting and as Augmentative Pharmacotherapy: Critical Issues and Bold Conjectures. Journal of neuroendocrinology, 28(8), 10.1111/jne.12355. https://doi.org/10.1111/jne.12355	Excluded	Not a meta-analysis of controlled studies
Tan, M. L., Ho, J. J., & Teh, K. H. (2016). Polyunsaturated fatty acids (PUFAs) for children with specific learning disorders. The Cochrane database of systematic reviews, 9(9), CD009398. https://doi.org/10.1002/14651858.CD009398.pub3	Excluded	Not on ASD
Hollis, J. L., Sutherland, R., Williams, A. J., Campbell, E., Nathan, N., Wolfenden, L., Morgan, P. J., Lubans, D. R., Gillham, K., & Wiggers, J. (2017). A systematic review and meta-analysis of moderate-to-vigorous physical activity levels in secondary school physical education lessons. The international journal of behavioral nutrition and physical activity, 14(1), 52. https://doi.org/10.1186/s12966-017-0504-0	Excluded	Not on ASD
Khaleghi, A., Zarafshan, H., Vand, S. R., & Mohammadi, M. R. (2020). Effects of Non-invasive Neurostimulation on Autism Spectrum Disorder: A Systematic Review. Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology, 18(4), 527–552. https://doi.org/10.9758/cpn.2020.18.4.527	Excluded	Not a meta-analysis
Khaleghi, A., Zarafshan, H., Vand, S. R., & Mohammadi, M. R. (2020). Effects of Non-invasive Neurostimulation on Autism Spectrum Disorder: A Systematic Review. Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology, 18(4), 527–552. https://doi.org/10.9758/cpn.2020.18.4.527	Excluded	Not a meta-analysis
Lam, N. S. K., Long, X. X., Li, X., Saad, M., Lim, F., Doery, J. C., Griffin, R. C., & Galletly, C. (2022). The potential use of folate and its derivatives in treating psychiatric disorders: A systematic review. Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie, 146, 112541. https://doi.org/10.1016/j.biopha.2021.112541	Excluded	Not a meta-analysis of controlled studies
Gao, X., Su, X., Han, X., Wen, H., Cheng, C., Zhang, S., Li, W., Cai, J., Zheng, L., Ma, J., Liao, M., Ni, W., Liu, T., Liu, D., Ma, W., Han, S., Zhu, S., Ye, Y., & Zeng, F. F. (2022). Unsaturated Fatty Acids in Mental Disorders: An Umbrella Review of Meta-Analyses. Advances in nutrition (Bethesda, Md.), 13(6), 2217–2236. https://doi.org/10.1093/advances/nmac084	Excluded	Not a meta-analysis of controlled studies
Huang, J., Du, C., Liu, J., & Tan, G. (2020). Meta-Analysis on Intervention Effects of Physical Activities on Children and Adolescents with Autism. International Journal of Environmental Research and Public Health, 17(6), 1950. doi:10.3390/ijerph17061950 	Included	
Huang, Y., Huang, X., Ebstein, R. P., & Yu, R. (2021). Intranasal oxytocin in the treatment of autism spectrum disorders: A multilevel meta-analysis. Neuroscience & Biobehavioral Reviews, 122, 18–27. doi:10.1016/j.neubiorev.2020.12.028 	Excluded	Mixed outcomes
Huang, Y., Zhang, B., Cao, J., Yu, S., Wilson, G., Park, J., & Kong, J. (2020). Potential Locations for Noninvasive Brain Stimulation in Treating Autism Spectrum Disorders—A Functional Connectivity Study. Frontiers in Psychiatry, 11. doi:10.3389/fpsyt.2020.00388 	Excluded	Not a meta-analysis of controlled studies
Huashuang Z, Yang L, Chensheng H, et al. Prevalence of Adverse Effects Associated With Transcranial Magnetic Stimulation for Autism Spectrum Disorder: A Systematic Review and Meta-Analysis. Front Psychiatry. 2022;13:875591. Published 2022 May 23. doi:10.3389/fpsyt.2022.875591	Excluded	Not a meta-analysis of controlled studies
Hwang, B., & Hughes, C. (2000). Journal of Autism and Developmental Disorders, 30(4), 331–343. doi:10.1023/a:1005579317085 	Excluded	Not a meta-analysis
James S, Stevenson SW, Silove N, Williams K. Chelation for autism spectrum disorder (ASD). Cochrane Database Syst Rev. 2015;5(5):CD010766. Published 2015 May 11. doi:10.1002/14651858.CD010766.pub2	Excluded	Not a meta-analysis
James, S., Montgomery, P., & Williams, K. (2011). Omega-3 fatty acids supplementation for autism spectrum disorders (ASD). Cochrane Database of Systematic Reviews. doi:10.1002/14651858.cd007992.pub2 	Included	
Johnstone, J. M., Hughes, A., Goldenberg, J. Z., Romijn, A. R., & Rucklidge, J. J. (2020). Multinutrients for the Treatment of Psychiatric Symptoms in Clinical Samples: A Systematic Review and Meta-Analysis of Randomized Controlled Trials. Nutrients, 12(11), 3394. doi:10.3390/nu12113394 	Excluded	Not on ASD
Kandeel M, El-Deeb W. The Application of Natural Camel Milk Products to Treat Autism-Spectrum Disorders: Risk Assessment and Meta-Analysis of Randomized Clinical Trials. Bioinorg Chem Appl. 2022;2022:6422208. Published 2022 May 27. doi:10.1155/2022/6422208	Excluded	Retracted
Ke X, Song W, Yang M, Li J, Liu W. Effectiveness of music therapy in children with autism spectrum disorder: A systematic review and meta-analysis. Front Psychiatry. 2022;13:905113. Published 2022 Oct 6. doi:10.3389/fpsyt.2022.905113	Included	
Keech B, Crowe S, Hocking DR. Intranasal oxytocin, social cognition and neurodevelopmental disorders: A meta-analysis. Psychoneuroendocrinology. 2018;87:9-19. doi:10.1016/j.psyneuen.2017.09.022	Included	
Keller A, Rimestad ML, Friis Rohde J, et al. The Effect of a Combined Gluten- and Casein-Free Diet on Children and Adolescents with Autism Spectrum Disorders: A Systematic Review and Meta-Analysis. Nutrients. 2021;13(2):470. Published 2021 Jan 30. doi:10.3390/nu13020470	Included	
Koch, S. C., Riege, R. F. F., Tisborn, K., Biondo, J., Martin, L., & Beelmann, A. (2019). Effects of Dance Movement Therapy and Dance on Health-Related Psychological Outcomes. A Meta-Analysis Update. Frontiers in Psychology, 10. doi:10.3389/fpsyg.2019.01806 	Excluded	Not enough information to replicate
Lee B, Lee J, Cheon JH, Sung HK, Cho SH, Chang GT. The Efficacy and Safety of Acupuncture for the Treatment of Children with Autism Spectrum Disorder: A Systematic Review and Meta-Analysis [published correction appears in Evid Based Complement Alternat Med. 2023 Feb 4;2023:9840285]. Evid Based Complement Alternat Med. 2018;2018:1057539. Published 2018 Jan 11. doi:10.1155/2018/1057539	Excluded	Probable errors in calculations
Lee JH, Jo HG, Min SY. East Asian Herbal Medicine Combined with Conventional Therapy for Children with Autism Spectrum Disorder: A Systematic Review and Meta-analysis. Explore (NY). 2022;18(6):646-656. doi:10.1016/j.explore.2022.02.001	Included	
Lee, M. S., Choi, T.-Y., Shin, B.-C., & Ernst, E. (2011). Acupuncture for Children with Autism Spectrum Disorders: A Systematic Review of Randomized Clinical Trials. Journal of Autism and Developmental Disorders, 42(8), 1671–1683. doi:10.1007/s10803-011-1409-4 	Excluded	Not a meta-analysis
Lee, T. M., Lee, K. M., Lee, C. Y., Lee, H. C., Tam, K. W., & Loh, E. W. (2021). Effectiveness of N-acetylcysteine in autism spectrum disorders: A meta-analysis of randomized controlled trials. The Australian and New Zealand journal of psychiatry, 55(2), 196–206.	Included	
Lefevre A, Hurlemann R, Grinevich V. Imaging neuropeptide effects on human brain function. Cell Tissue Res. 2019;375(1):279-286. doi:10.1007/s00441-018-2899-6	Excluded	Not a meta-analysis
Leppanen, J., Ng, K. W., Tchanturia, K., & Treasure, J. (2017). Meta-analysis of the effects of intranasal oxytocin on interpretation and expression of emotions. Neuroscience & Biobehavioral Reviews, 78, 125–144. doi:10.1016/j.neubiorev.2017.04.010 	Excluded	Only one study
Li B, Xu Y, Zhang X, et al. The effect of vitamin D supplementation in treatment of children with autism spectrum disorder: a systematic review and meta-analysis of randomized controlled trials. Nutr Neurosci. 2022;25(4):835-845. doi:10.1080/1028415X.2020.1815332	Included	
Li, N., Li, L., Li, G., & Gai, Z. (2018). The association of auditory integration training in children with autism spectrum disorders among Chinese: a meta-analysis. Bioscience reports, 38(6), BSR20181412.	Included	
Liang X, Li R, Wong SHS, et al. The Effects of Exercise Interventions on Executive Functions in Children and Adolescents with Autism Spectrum Disorder: A Systematic Review and Meta-analysis. Sports Med. 2022;52(1):75-88. doi:10.1007/s40279-021-01545-3	Excluded	Outcome not included in the UR
Littell, J. H., Pigott, T. D., Nilsen, K. H., Green, S. J., & Montgomery, O. L. (2021). Multisystemic Therapy® for social, emotional, and behavioural problems in youth age 10 to 17: An updated systematic review and meta‐analysis. Campbell Systematic Reviews, 17(4), e1158.	Excluded	Not on ASD
Liu Y, Yang Z, Du Y, Shi S, Cheng Y. Antioxidant interventions in autism spectrum disorders: A meta-analysis. Prog Neuropsychopharmacol Biol Psychiatry. 2022;113:110476. doi:10.1016/j.pnpbp.2021.110476	Included	
Liu, C., Li, T., Wang, Z., Zhou, R., & Zhuang, L. (2019). Scalp acupuncture treatment for childrenʼs autism spectrum disorders. Medicine, 98(13), e14880. doi:10.1097/md.0000000000014880 	Excluded	Probable errors in calculations
Lowenthal 2019	Excluded	Not enough information to replicate
Main, P. A., Angley, M. T., O'Doherty, C. E., Thomas, P., & Fenech, M. (2012). The potential role of the antioxidant and detoxification properties of glutathione in autism spectrum disorders: a systematic review and meta-analysis. Nutrition & metabolism, 9, 35. https://doi.org/10.1186/1743-7075-9-35	Excluded	Not a meta-analysis of controlled studies
Martins, D., Paduraru, M., & Paloyelis, Y. (2021). Heterogeneity in response to repeated intranasal oxytocin in schizophrenia and autism spectrum disorders: A meta‐analysis of variance. British Journal of Pharmacology. doi:10.1111/bph.15451 	Included	
Maujean, A., Pepping, C. A., & Kendall, E. (2015). A systematic review of randomized controlled trials of animal-assisted therapy on psychosocial outcomes. Anthrozoös, 28(1), 23–36. https://doi.org/10.2752/089279315X14129350721812	Excluded	Not a meta-analysis
