meta_review	first_author_meta	year_meta	Link_MA	amstar	amstar_rank	intervention_type	intervention_general	intervention_precise	intervention_comment	intervention_label	duration_month	dose	dose_unit	setting	sett_home	sett_clin	sett_class	intervention_imp	parent_imp	prof_imp	tech_imp	outcome_general	outcome_precise	outcome_type	outcome_measure	outcome_test	outcome_observation	outcome_report	link_cct	author	year	design	measure	n_cases	n_controls	multiple_es	reverse_es	value	se	ci_lo	ci_up	mean_cases	sd_cases	mean_controls	sd_controls	mean_change_cases	sd_change_cases	mean_change_controls	sd_change_controls	n_cases_exp	n_exp	n_cases_nexp	n_nexp	n_controls_exp	n_controls_nexp	rob	design_num	low_RoB_num	random_num	attrition_num	reporting_num	blinding_num	RoB_SeqGen	RoB_Conceal	RoB_BlindPers	RoB_BlindOut	RoB_Attrition	RoB_Reporting	type_comp	active_controls	perc_female	mean_age	mean_IQ	available_age	available_IQ	available_control	available_rob	country	continent	diagnostic_criteria	AMS_1_PICO	AMS_2_protocol	AMS_3_selection	AMS_4_search	AMS_5_screening_duplicate	AMS_6_extraction_duplicate	AMS_7_excluded	AMS_8_description	AMS_9_RoB	AMS_10_funding_primary	AMS_11_stat	AMS_12_MA_RoB	AMS_13_interpreting_RoB	AMS_14_heterogeneity	AMS_15_publication_bias	AMS_16_CoI	n_tot	id_row	paper	trial_id	Duration_cct	IQ_cct	Age_cct	min_age_meta	max_age_meta	min_IQ_meta	max_IQ_meta	n_cct_intervention	n_outcome_intervention	outcome_intervention	n_meta_intervention	meta_intervention	URL_meta	min_age_intervention	max_age_intervention	min_IQ_intervention	max_IQ_intervention
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Ketogenic diet	Ketogenic diet	6	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Observation	CARS: Childhood Autism Rating Scale	0	100	0	10.1007/s11011-017-0088-z	El-Rashidy	2017	RCT	SMD	15	15	outcomes	reverse	-1.04		-1.81	-0.27	34.270000000000003	3.28	38.93	5.23											low	100	100	0	100	100	100	unclear	unclear	high	low	low	low	No intervention ()	0	27	5.29		1	0	1	1	Egypt	Africa	DSM-5	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	30	11	Yu (2022)	El-Rashidy_2017	2-6 months		< 6 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	6	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Observation	CARS: Childhood Autism Rating Scale	0	100	0	10.1007/s11011-017-0088-z	El-Rashidy	2017	RCT	SMD	10	15	outcomes	reverse	-1.03		-1.89	-0.17	33.700000000000003	4.33	38.93	5.23											low	100	100	0	100	100	100	unclear	unclear	high	low	low	low	No intervention ()	0	27	5.29		1	0	1	1	Egypt	Africa	DSM-5	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	25	12	Yu (2022)	El-Rashidy_2017	2-6 months		< 6 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten Free diet	Gluten Free diet	1.38089758	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Observation	CARS: Childhood Autism Rating Scale	0	100	0	10.1007/s12519-016-0040-z	Ghalichi	2016	RCT	SMD	38	38		reverse	-0.32		-0.77	0.13	75.82	15.37	80.92	16.24											high	100	0	0	100	100	0	unclear	unclear	high	unclear	low	low	No intervention ()	0	26	7.92		1	0	1	1	Iran	Asia	ADI-R	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	76	13	Yu (2022)	Ghalichi_2016	< 2 months		6-12 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	6	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Observation	CARS: Childhood Autism Rating Scale	0	100	0	10.1007/s10803-019-04333-1	Gonzalez-Domenech	2020	RCT	SMD	15	16		reverse	-0.31		-1.02	0.4	54.9	20.9	62.9	28.9											low	100	100	100	100	100	0	low	unclear	high	unclear	low	low	No intervention ()	0	46	8.954839		1	0	1	1	Spain	Europe	ICD	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	31	14	Yu (2022)	Gonzalez-Domenech_2020	2-6 months		6-12 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	12	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Report	Diagnosis of psychotic behaviour in children / standardized Danish scheme to evaluate behavior	0	0	100	10.1080/10284150290028945	Knivsberg	2002	RCT	SMD	10	10		reverse	-1.37		-2.36	-0.37	5.6	2.4	11.2	5											high	100	0	0	100	100	0	unclear	unclear	high	high	low	low	No intervention ()	0		7.4		1	0	1	1	Norway	Europe		1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	20	15	Yu (2022)	Knivsberg_2002	7-12 months		6-12 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Ketogenic diet	Ketogenic diet	2.30149597	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Report	ABC: Autism children behavior checklist	0	0	100	https://caod.oriprobe.com/articles/55388755/Effect_of_ketogenic_diet_on_children_s_autistic_pe.htm	Luo	2018	RCT	SMD	50	50		reverse	-0.59		-1.00	-0.19	76.36	8.35	81.57	9.02											high	100	0	0	100	100	0	unclear	unclear	high	unclear	low	low	No intervention ()	0	23	3.6		1	0	1	1	China	Asia	DSM-5	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	100	16	Yu (2022)	Luo_2018	2-6 months		< 6 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten Free diet	Gluten Free diet	6	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Observation	ADOS: Autism Diagnostic Observation Scale	0	100	0	10.1007/s10803-019-04266-9	Piwowarczyk	2019	RCT	SMD	26	31		reverse	-0.27		-0.80	0.25	11.38	5.96	13	5.69											low	100	100	100	100	100	100	low	low	low	low	low	low	No intervention ()	0	15	3.793509	101	1	1	1	1	Poland	Europe	DSM-5 + ICD-10	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	57	17	Yu (2022)	Piwowarczyk_2019	2-6 months	Average (80-119)	< 6 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	1.38089758	7	day/week	Home	100	0	0			100		Social-communication	Social behaviors	Observation	Behavioral Response Frequencies: child responding	0	100	0	10.1007/s10803-006-0079-0	Elder	2006	RCT	SMD	6	8	outcomes	reverse	0.84		-0.28	1.96	27.7	21.8	14.3	6.5											low	100	100	0	100	100	100	unclear	low	low	low	low	low	No intervention ()	0	20	7.32		1	0	1	1	USA	North America	DSM-IV	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	14	18	Yu (2022)	Elder_2006	< 2 months		6-12 yo	3.793509	7.92	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Ketogenic diet	Ketogenic diet	6	7	day/week	Home	100	0	0			100		Social-communication	Social behaviors	Report	ATEC: Autism Treatment Evaluation Checklist	0	0	100	10.1007/s11011-017-0088-z	El-Rashidy	2017	RCT	SMD	15	15	outcomes	reverse	-0.34		-1.06	0.38	16.73	4.17	17.93	2.43											low	100	100	0	100	100	100	unclear	unclear	high	low	low	low	No intervention ()	0	27	5.29		1	0	1	1	Egypt	Africa	DSM-5	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	30	19	Yu (2022)	El-Rashidy_2017	2-6 months		< 6 yo	3.793509	7.92	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	6	7	day/week	Home	100	0	0			100		Social-communication	Social behaviors	Report	ATEC: Autism Treatment Evaluation Checklist	0	0	100	10.1007/s11011-017-0088-z	El-Rashidy	2017	RCT	SMD	10	15	outcomes	reverse	-0.79		-1.62	0.05	15	4.9000000000000004	17.93	2.43											low	100	100	0	100	100	100	unclear	unclear	high	low	low	low	No intervention ()	0	27	5.29		1	0	1	1	Egypt	Africa	DSM-5	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	25	20	Yu (2022)	El-Rashidy_2017	2-6 months		< 6 yo	3.793509	7.92	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten Free diet	Gluten Free diet	1.38089758	7	day/week	Home	100	0	0			100		Social-communication	Social behaviors	Observation	CARS: Childhood Autism Rating Scale	0	100	0	10.1007/s12519-016-0040-z	Ghalichi	2016	RCT	SMD	38	38	outcomes	reverse	-0.47		-0.92	-0.01	2	5.3	18	47.7											high	100	0	0	100	100	0	unclear	unclear	high	unclear	low	low	No intervention ()	0	26	7.92		1	0	1	1	Iran	Asia	ADI-R	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	76	21	Yu (2022)	Ghalichi_2016	< 2 months		6-12 yo	3.793509	7.92	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten Free diet	Gluten Free diet	6	7	day/week	Home	100	0	0			100		Social-communication	Social behaviors	Observation	ADOS: Autism Diagnostic Observation Scale	0	100	0	10.1007/s10803-019-04266-9	Piwowarczyk	2019	RCT	SMD	26	31	outcomes	reverse	-0.33		-0.86	0.19	8.23	4.48	9.74	4.54											low	100	100	100	100	100	100	low	low	low	low	low	low	No intervention ()	0	15	3.793509	101	1	1	1	1	Poland	Europe	DSM-5 + ICD-10	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	57	22	Yu (2022)	Piwowarczyk_2019	2-6 months	Average (80-119)	< 6 yo	3.793509	7.92	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Ketogenic diet	Ketogenic diet	6	7	day/week	Home	100	0	0			100		Global cognition (IQ)	Cognition	Report	ATEC: Autism Treatment Evaluation Checklist	0	0	100	10.1007/s11011-017-0088-z	El-Rashidy	2017	RCT	SMD	15	15	outcomes	reverse	-0.68		-1.42	0.06	15.07	5.41	19.4	6.95											low	100	100	0	100	100	100	unclear	unclear	high	low	low	low	No intervention ()	0	27	5.29		1	0	1	1	Egypt	Africa	DSM-5	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	30	23	Yu (2022)	El-Rashidy_2017	2-6 months		< 6 yo	3.793509	7.4	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	12	7	day/week	Home	100	0	0			100		Global cognition (IQ)	Cognition	Report	Diagnosis of psychotic behaviour in children / standardized Danish scheme to evaluate behavior	0	0	100	10.1080/10284150290028945	Knivsberg	2002	RCT	SMD	9	9		reverse	0.34		-0.60	1.27	86.7	38.5	74.3	31.4											high	100	0	0	100	100	0	unclear	unclear	high	high	low	low	No intervention ()	0		7.4		1	0	1	1	Norway	Europe		1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	18	24	Yu (2022)	Knivsberg_2002	7-12 months		6-12 yo	3.793509	7.4	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
